species,strain,train_img,test_img,total_img
Aspergillus aculeatus,NRRL 358,17,6,23
Aspergillus aculeatus,NRRL 5094,15,6,21
Aspergillus candidus,NRRL 303,12,4,16
Aspergillus candidus,NRRL 4809,17,6,23
Aspergillus flavus,ATCC 204304,18,6,24
Aspergillus flavus,NRRL 1957,11,4,15
Aspergillus fumigatus,AF 293,9,3,12
Aspergillus fumigatus,ATCC 204305,21,6,27
Aspergillus fumigatus,NRRL 163,8,2,10
Aspergillus fumigatus,QC 5096,14,6,20
Aspergillus glaucus,NRRL 117,71,24,95
Aspergillus nidulans,NRRL 187,53,17,70
Aspergillus nidulans,NRRL 189,138,46,184
Aspergillus niger,NRRL 326,17,5,22
Aspergillus restrictus,NRRL 154,38,12,50
Aspergillus restrictus,NRRL 4783,28,10,38
Aspergillus sydowii,NRRL 250,12,4,16
Aspergillus sydowii,NRRL 254,17,5,22
Aspergillus tamarii,CBS 104.13,10,4,14
Aspergillus tamarii,NRRL 26630,18,6,24
Aspergillus terreus,NRRL 255,15,6,21
Aspergillus terreus,NRRL 265,17,5,22
Aspergillus unguis,NRRL 216,8,3,11
Aspergillus unguis,NRRL 2393,20,7,27
Aspergillus ustus,NRRL 275,17,5,22
Aspergillus ustus,NRRL 280,16,5,21
Aspergillus amoenus,NRRL 226,10,4,14
Aspergillus versicolor,NRRL 238,11,4,15
